Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:21:18.831],0.00,0.00,0.17,-1.00,-0.03,-0.02,1.05,0.24,0.73,0.79,1637.00
[16:21:18.858],0.00,0.00,0.17,-1.00,0.01,0.01,1.05,0.37,-0.12,1.71,1637.00
[16:21:18.884],0.00,0.00,0.17,-1.00,0.00,0.00,1.05,1.34,1.28,1.53,1192.00
[16:21:18.910],0.00,0.00,0.17,-1.00,0.00,0.00,1.05,1.34,1.28,1.53,1192.00
[16:21:18.931],0.00,0.00,0.17,-1.00,0.00,-0.02,1.04,1.10,-0.06,1.28,1192.00
[16:21:18.957],0.00,0.00,0.17,-1.00,-0.00,0.01,1.05,0.79,1.10,1.65,1192.00
[16:21:18.983],0.00,0.00,0.17,-1.00,0.01,-0.00,1.04,1.16,0.49,1.46,1175.00
[16:21:19.009],0.00,0.00,0.17,-1.00,0.01,0.01,1.03,0.73,1.22,1.46,1175.00
[16:21:19.035],0.00,0.00,0.17,-1.00,-0.00,-0.00,1.04,0.73,0.49,1.28,1175.00
[16:21:19.055],0.00,0.00,0.17,-1.00,0.01,-0.00,1.05,0.67,0.92,1.40,1175.00
[16:21:19.081],0.00,0.00,0.17,-1.00,0.01,-0.00,1.05,0.67,0.92,1.40,1176.00
[16:21:19.107],0.00,0.00,0.17,-1.00,-0.00,-0.00,1.04,0.79,0.67,1.46,1176.00
[16:21:19.133],0.00,0.00,0.17,-1.00,0.00,-0.00,1.04,0.98,0.92,1.59,1176.00
[16:21:19.159],0.00,0.00,0.17,-1.00,0.00,0.00,1.04,0.73,0.73,1.46,1176.00
[16:21:19.185],0.00,0.00,0.17,-1.00,0.01,-0.00,1.04,0.85,0.79,1.46,1177.00
[16:21:19.206],0.00,0.00,0.17,-1.00,0.00,-0.00,1.04,0.73,0.67,1.46,1177.00
[16:21:19.232],0.00,0.00,0.17,-1.00,0.00,-0.00,1.04,0.73,0.79,1.53,1177.00
[16:21:19.258],0.00,0.00,0.17,-1.00,0.01,-0.00,1.04,0.79,0.73,1.40,1177.00
[16:21:19.284],0.00,0.00,0.17,-1.00,0.01,-0.00,1.04,0.79,0.73,1.40,1176.00
[16:21:19.310],0.00,0.00,0.20,-1.00,0.00,0.00,1.04,0.85,0.61,1.40,1176.00
[16:21:19.336],0.00,0.00,0.21,-1.00,0.01,0.00,1.04,0.85,0.73,1.40,1176.00
[16:21:19.361],0.00,0.00,0.21,-0.97,-0.01,-0.00,1.04,0.73,0.37,1.46,1176.00
[16:21:19.383],0.00,0.00,0.21,-0.64,0.00,0.00,1.04,0.92,0.43,1.59,1176.00
[16:21:19.409],0.00,0.00,0.21,-0.48,0.00,0.00,1.04,0.85,0.92,1.59,1176.00
[16:21:19.435],0.00,0.00,0.21,-0.38,-0.00,-0.01,1.03,0.98,0.92,1.40,1193.00
[16:21:19.462],0.00,0.00,0.20,-0.23,-0.00,-0.01,1.03,0.98,0.92,1.40,1193.00
[16:21:19.483],0.00,0.00,-0.00,0.00,0.00,-0.01,1.05,1.04,0.37,1.28,1193.00
[16:21:19.508],0.00,0.00,-0.00,0.00,0.01,-0.00,1.05,0.67,0.92,1.65,1193.00
[16:21:19.534],0.00,0.00,-0.00,0.00,0.00,0.01,1.05,0.49,0.43,1.40,1464.00
[16:21:19.560],0.00,0.00,-0.00,0.00,-0.02,0.01,1.09,1.59,0.85,1.59,1464.00
[16:21:19.586],0.00,0.00,-0.00,0.00,0.01,-0.00,1.08,0.49,-0.43,1.71,2692.00
[16:21:19.612],0.00,0.00,-0.00,0.00,-0.02,-0.00,1.02,1.28,0.00,1.16,2692.00
[16:21:19.638],0.00,0.00,-0.00,0.00,0.03,0.00,1.03,0.37,1.16,2.01,1396.00
[16:21:19.664],0.00,0.00,-0.00,0.00,0.03,0.00,1.03,0.37,1.16,2.01,1396.00
[16:21:19.690],0.00,0.00,-0.00,0.00,-0.02,-0.01,1.04,0.67,0.18,0.73,1396.00
[16:21:19.710],0.00,0.00,-0.00,0.00,0.02,-0.01,1.04,0.98,0.85,1.40,1596.00
[16:21:19.736],0.00,0.00,-0.00,0.00,-0.02,-0.00,1.04,0.79,1.10,1.71,1596.00
[16:21:19.762],0.00,0.00,-0.00,0.00,0.02,-0.00,1.05,0.79,0.31,1.34,1673.00
[16:21:19.788],0.00,0.00,-0.00,0.00,-0.01,0.00,1.05,0.98,0.92,1.59,1673.00
[16:21:19.815],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.92,0.49,1.46,1397.00
[16:21:19.841],0.00,0.00,-0.00,0.00,-0.00,-0.00,1.04,0.85,0.61,1.46,1397.00
[16:21:19.862],0.00,0.00,-0.00,0.00,-0.00,-0.00,1.04,0.85,0.61,1.46,1326.00
[16:21:19.888],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.92,0.61,1.40,1326.00
[16:21:19.914],0.00,0.00,-0.00,0.00,-0.00,-0.00,1.04,0.79,0.85,1.53,1408.00
[16:21:19.940],0.00,0.00,-0.00,0.00,0.01,-0.00,1.03,0.85,0.67,1.40,1408.00
[16:21:19.966],0.00,0.00,-0.00,0.00,-0.00,0.00,1.04,0.73,0.79,1.53,1429.00
[16:21:19.991],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.73,1.46,1429.00
[16:21:20.012],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.40,1416.00
[16:21:20.043],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1416.00
[16:21:20.069],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1477.00
[16:21:20.091],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.40,1477.00
[16:21:20.117],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1306.00
[16:21:20.142],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.53,1306.00
[16:21:20.168],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.79,1.46,1317.00
[16:21:20.194],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.79,1.40,1317.00
[16:21:20.220],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1411.00
[16:21:20.246],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.40,1411.00
[16:21:20.272],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.40,1590.00
[16:21:20.298],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1590.00
[16:21:20.319],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.40,1305.00
[16:21:20.345],0.00,0.00,-0.00,0.31,0.00,-0.00,1.04,0.79,0.79,1.40,1305.00
[16:21:20.371],0.00,0.00,-0.00,0.43,0.04,-0.00,1.03,0.79,1.46,1.59,1448.00
[16:21:20.397],0.00,0.00,0.20,0.60,0.54,-0.00,1.04,0.06,-0.12,0.37,1448.00
[16:21:20.423],0.00,0.00,0.26,0.78,0.17,-0.01,1.04,0.79,1.65,1.89,1166.00
[16:21:20.449],0.00,0.00,0.30,0.98,-0.01,-0.00,1.04,1.40,-0.61,0.98,1166.00
[16:21:20.475],0.00,0.00,0.30,0.98,-0.01,-0.00,1.04,1.40,-0.61,0.98,2499.00
[16:21:20.501],0.00,0.00,0.30,0.98,0.02,0.00,1.02,0.37,1.53,1.53,2499.00
[16:21:20.522],0.00,0.00,0.30,0.98,-0.01,0.00,1.04,0.85,0.67,1.53,2499.00
[16:21:20.547],0.00,0.00,0.30,0.98,0.01,-0.00,1.05,0.79,1.10,1.16,2499.00
[16:21:20.573],0.00,0.00,0.30,0.98,-0.01,-0.01,1.06,0.49,0.12,1.22,1832.00
[16:21:20.599],0.00,0.00,0.30,0.98,0.02,0.01,1.04,0.92,1.10,1.65,1832.00
[16:21:20.625],0.00,0.00,0.30,0.98,0.01,-0.01,1.05,0.79,0.92,1.40,1253.00
[16:21:20.651],0.00,0.00,0.30,0.98,0.01,0.00,1.04,0.98,1.04,1.34,1253.00
[16:21:20.677],0.00,0.00,0.30,0.98,0.01,0.00,1.04,0.98,1.04,1.34,1253.00
[16:21:20.703],0.00,0.00,0.30,0.98,0.00,0.00,1.05,0.61,0.61,1.28,1253.00
[16:21:20.729],0.00,0.00,0.30,0.98,0.00,0.00,1.04,1.04,0.61,1.59,1239.00
[16:21:20.750],0.00,0.00,0.30,0.98,-0.00,-0.00,1.04,0.55,0.61,1.46,1239.00
[16:21:20.776],0.00,0.00,0.30,0.98,0.00,-0.01,1.04,0.79,0.73,1.59,1239.00
[16:21:20.801],0.00,0.00,0.30,0.98,0.00,-0.00,1.04,0.92,0.73,1.46,1239.00
[16:21:20.828],0.00,0.00,0.30,0.98,0.00,0.00,1.04,0.67,0.73,1.59,1237.00
[16:21:20.854],0.00,0.00,0.28,0.98,0.00,0.00,1.04,0.67,0.73,1.59,1237.00
[16:21:20.874],0.00,0.00,0.28,0.98,0.00,-0.00,1.04,0.79,0.79,1.34,1237.00
[16:21:20.900],0.00,0.00,0.27,0.98,0.00,0.00,1.04,0.73,0.85,1.34,1237.00
[16:21:20.926],0.00,0.00,0.27,0.98,0.00,0.00,1.04,0.73,0.67,1.40,1238.00
[16:21:20.952],0.00,0.00,0.27,0.98,0.00,-0.00,1.04,0.85,0.79,1.40,1238.00
[16:21:20.978],0.00,0.00,0.27,0.98,0.00,-0.00,1.04,0.67,0.73,1.28,1239.00
[16:21:21.004],0.00,0.00,0.27,0.98,0.00,-0.00,1.04,0.79,0.73,1.53,1239.00
[16:21:21.031],0.00,0.00,0.26,0.99,0.00,0.00,1.04,0.85,0.73,1.53,1239.00
[16:21:21.051],0.00,0.00,0.23,0.87,0.00,0.00,1.04,0.85,0.73,1.53,1239.00
[16:21:21.078],0.00,0.00,-0.00,0.56,0.00,-0.00,1.04,0.73,0.73,1.46,1235.00
[16:21:21.104],0.00,0.00,-0.00,0.00,0.00,0.01,1.05,0.24,0.61,1.28,1235.00
[16:21:21.130],0.00,0.00,-0.00,0.00,-0.01,-0.00,1.03,0.98,0.79,1.53,1235.00
[16:21:21.156],0.00,0.00,-0.00,0.00,-0.01,-0.02,1.07,1.22,0.31,1.53,1235.00
[16:21:21.177],0.00,0.00,-0.00,0.00,0.01,-0.00,1.00,1.04,0.92,1.46,1333.00
[16:21:21.203],0.00,0.00,-0.00,0.00,0.00,0.01,0.98,0.61,0.92,1.53,1333.00
[16:21:21.228],0.00,0.00,-0.00,0.00,0.00,0.01,0.98,0.61,0.92,1.53,2196.00
[16:21:21.254],0.00,0.00,-0.00,0.00,-0.00,0.01,1.06,0.73,0.79,1.28,2196.00
[16:21:21.280],0.00,0.00,-0.00,0.00,0.03,-0.00,1.05,0.85,1.10,1.59,1159.00
[16:21:21.306],0.00,0.00,-0.00,0.00,-0.08,0.00,1.06,0.61,0.06,1.59,1159.00
[16:21:21.327],0.00,0.00,-0.00,0.00,0.03,-0.01,1.04,1.16,-1.22,1.95,1159.00
[16:21:21.353],0.00,0.00,-0.00,0.00,-0.02,-0.00,1.04,0.61,1.89,1.71,1536.00
[16:21:21.379],0.00,0.00,-0.00,0.00,0.02,0.00,1.03,0.61,-0.24,1.53,1536.00
[16:21:21.405],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.67,1.16,1.46,1533.00
[16:21:21.431],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.67,1.16,1.46,1335.00
[16:21:21.457],0.00,0.00,-0.00,0.00,-0.01,0.00,1.04,0.92,0.49,1.34,1335.00
[16:21:21.483],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.53,1335.00
[16:21:21.503],0.00,0.00,-0.00,0.00,-0.00,-0.01,1.03,0.79,0.73,1.53,1448.00
[16:21:21.529],0.00,0.00,-0.00,0.00,0.00,-0.01,1.04,0.79,0.61,1.46,1448.00
[16:21:21.555],0.00,0.00,-0.00,0.00,0.00,0.00,1.03,0.85,0.79,1.53,1317.00
[16:21:21.581],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.34,1317.00
[16:21:21.607],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.53,1338.00
[16:21:21.633],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.53,1338.00
[16:21:21.659],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.67,1.53,1346.00
[16:21:21.685],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.40,1346.00
[16:21:21.711],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1262.00
[16:21:21.732],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.46,1262.00
[16:21:21.758],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1367.00
[16:21:21.784],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1367.00
[16:21:21.810],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.40,1322.00
[16:21:21.837],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.40,1322.00
[16:21:21.863],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1377.00
[16:21:21.889],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1377.00
[16:21:21.910],0.00,0.00,-0.20,0.00,0.00,0.00,1.04,0.85,0.73,1.40,1301.00
[16:21:21.936],0.00,0.00,-0.30,0.00,0.00,0.00,1.04,0.79,0.79,1.53,1301.00
[16:21:21.962],0.00,0.00,-0.53,0.00,0.01,0.00,1.04,0.92,1.04,1.53,1480.00
[16:21:21.988],0.00,0.00,-0.65,0.00,0.01,-0.01,1.03,1.10,0.67,1.28,1480.00
[16:21:22.014],0.00,0.00,-0.79,0.00,0.01,-0.01,1.03,1.10,0.67,1.28,1324.00
[16:21:22.035],0.00,0.00,-0.90,0.00,0.01,-0.01,1.06,0.43,0.43,1.28,1324.00
[16:21:22.061],0.00,0.00,-1.00,0.00,0.00,-0.02,1.05,0.67,0.79,1.53,542.00
[16:21:22.087],0.00,0.00,-1.00,0.00,0.02,-0.01,1.04,-0.18,0.55,1.40,542.00
[16:21:22.113],0.00,0.00,-1.00,0.00,-0.02,0.00,1.06,0.12,0.18,1.04,542.00
[16:21:22.139],0.00,0.00,-1.00,0.00,0.00,-0.02,1.03,0.73,0.00,1.77,542.00
[16:21:22.160],0.00,0.00,-1.00,0.00,0.01,-0.03,1.02,-0.12,0.49,1.40,125.00
[16:21:22.187],0.00,0.00,-1.00,0.00,0.03,-0.02,1.01,-0.43,0.55,1.22,125.00
[16:21:22.213],0.00,0.00,-1.00,0.00,0.03,-0.02,1.01,-0.43,0.55,1.22,125.00
[16:21:22.239],0.00,0.00,-1.00,0.00,0.01,0.01,1.03,0.06,0.73,1.40,125.00
[16:21:22.265],0.00,0.00,-1.00,0.00,0.00,-0.00,1.03,0.79,0.79,1.53,57.00
[16:21:22.291],0.00,0.00,-1.00,0.00,0.00,-0.00,1.05,0.92,0.85,1.46,57.00
[16:21:22.311],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.92,0.73,1.53,19.00
[16:21:22.338],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.98,0.79,1.40,19.00
[16:21:22.364],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.79,0.73,1.59,19.00
[16:21:22.390],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.79,0.73,1.59,19.00
[16:21:22.416],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.40,34.00
[16:21:22.437],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.73,0.73,1.53,34.00
[16:21:22.463],0.00,0.00,-1.00,0.00,0.00,-0.01,1.04,0.98,0.61,1.40,34.00
[16:21:22.489],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.92,0.73,1.46,34.00
[16:21:22.515],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.46,36.00
[16:21:22.541],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.85,0.61,1.40,36.00
[16:21:22.567],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.98,0.73,1.46,36.00
[16:21:22.593],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.98,0.73,1.46,36.00
[16:21:22.613],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,31.00
[16:21:22.639],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.98,0.85,1.53,31.00
[16:21:22.665],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.40,31.00
[16:21:22.692],0.00,0.00,-1.00,0.00,0.01,-0.00,1.04,0.85,0.61,1.53,31.00
[16:21:22.718],0.00,0.00,-1.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,31.00
[16:21:22.739],0.00,0.00,-0.95,0.00,0.00,-0.00,1.04,0.98,0.73,1.46,31.00
[16:21:22.766],0.00,0.00,-0.69,0.00,0.00,-0.00,1.04,0.98,0.73,1.46,34.00
[16:21:22.792],0.00,0.00,-0.35,0.00,0.00,-0.00,1.05,0.98,0.61,1.46,34.00
[16:21:22.817],0.00,0.00,-0.00,0.00,0.00,-0.01,1.04,1.28,0.61,1.40,34.00
[16:21:22.843],0.00,0.00,-0.00,0.00,0.01,-0.00,1.08,1.83,1.10,1.46,34.00
[16:21:22.864],0.00,0.00,-0.00,0.00,-0.00,-0.00,1.04,1.89,0.92,1.53,34.00
[16:21:22.890],0.00,0.00,-0.00,0.00,0.01,0.02,1.03,1.89,0.98,1.53,110.00
[16:21:22.916],0.00,0.00,-0.00,0.00,-0.01,0.01,1.04,1.10,0.55,1.46,110.00
[16:21:22.942],0.00,0.00,-0.00,0.00,0.01,0.00,1.03,0.85,0.98,1.53,110.00
[16:21:22.968],0.00,0.00,-0.00,0.00,0.01,0.00,1.03,0.85,0.98,1.53,110.00
[16:21:22.994],0.00,0.00,-0.00,0.00,-0.01,0.00,1.04,0.61,0.98,1.65,360.00
[16:21:23.019],0.00,0.00,-0.00,0.00,0.01,-0.01,1.04,1.16,0.67,1.53,360.00
[16:21:23.045],0.00,0.00,-0.00,0.00,-0.00,-0.01,1.04,0.73,0.73,1.40,1276.00
[16:21:23.066],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.92,0.85,1.53,1276.00
