Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:20:28.986],0.00,0.00,-0.00,0.00,0.03,-0.01,1.04,1.40,-0.43,1.89,1762.00
[16:20:29.012],0.00,0.00,-0.00,0.00,-0.00,-0.01,1.04,0.24,1.71,1.46,1660.00
[16:20:29.038],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,1.10,-0.49,1.40,1660.00
[16:20:29.064],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.67,1.28,1.53,1324.00
[16:20:29.090],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,1.16,0.24,1.22,1324.00
[16:20:29.116],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,1.16,0.24,1.22,1388.00
[16:20:29.137],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,1.16,1.40,1388.00
[16:20:29.163],0.00,0.00,-0.00,0.00,0.00,-0.01,1.04,1.04,0.61,1.46,1401.00
[16:20:29.189],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.67,0.98,1.46,1401.00
[16:20:29.215],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.61,1.40,1375.00
[16:20:29.241],0.00,0.00,-0.00,0.00,0.00,0.00,1.03,0.79,0.85,1.46,1375.00
[16:20:29.267],0.00,0.00,-0.00,0.00,0.01,-0.00,1.05,0.85,0.67,1.40,1386.00
[16:20:29.287],0.00,0.00,-0.00,0.00,0.01,-0.00,1.05,0.85,0.67,1.40,1386.00
[16:20:29.313],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.85,1.46,1315.00
[16:20:29.339],0.00,0.00,-0.00,0.00,0.00,-0.00,1.05,0.67,0.73,1.40,1315.00
[16:20:29.365],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.59,1253.00
[16:20:29.391],0.00,0.00,-0.00,0.00,0.00,-0.01,1.05,0.73,0.61,1.28,1253.00
[16:20:29.412],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.73,1.46,1405.00
[16:20:29.438],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.61,1.46,1405.00
[16:20:29.464],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1404.00
[16:20:29.490],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1404.00
[16:20:29.516],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.34,1376.00
[16:20:29.542],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.98,0.67,1.40,1376.00
[16:20:29.568],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.79,0.67,1.40,1302.00
[16:20:29.589],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.61,1.40,1302.00
[16:20:29.615],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1318.00
[16:20:29.641],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.40,1318.00
[16:20:29.667],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.40,1390.00
[16:20:29.693],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.85,0.61,1.34,1390.00
[16:20:29.714],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.85,1.34,1291.00
[16:20:29.739],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.53,1291.00
[16:20:29.765],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1291.00
[16:20:29.791],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1416.00
[16:20:29.817],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.34,1416.00
[16:20:29.843],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.79,1.46,1323.00
[16:20:29.869],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.79,1.46,1422.00
[16:20:29.895],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1422.00
[16:20:29.916],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1422.00
[16:20:29.942],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.85,1.53,1497.00
[16:20:29.967],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.46,1497.00
[16:20:29.994],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.73,0.67,1.46,1342.00
[16:20:30.020],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.40,1342.00
[16:20:30.046],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1371.00
[16:20:30.072],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1371.00
[16:20:30.097],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.67,1.40,1365.00
[16:20:30.124],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1365.00
[16:20:30.144],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.46,1363.00
[16:20:30.170],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1363.00
[16:20:30.197],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.53,1254.00
[16:20:30.223],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1254.00
[16:20:30.249],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1294.00
[16:20:30.275],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1294.00
[16:20:30.301],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.40,1637.00
[16:20:30.322],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.40,1637.00
[16:20:30.348],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.40,1397.00
[16:20:30.374],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.53,1397.00
[16:20:30.400],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.79,1.46,1369.00
[16:20:30.426],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1369.00
[16:20:30.452],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.34,1443.00
[16:20:30.478],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.34,1443.00
[16:20:30.503],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1330.00
[16:20:30.529],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.67,1.34,1330.00
[16:20:30.550],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1351.00
[16:20:30.576],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1351.00
[16:20:30.603],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1330.00
[16:20:30.629],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.53,1330.00
[16:20:30.655],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.53,1419.00
[16:20:30.676],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1419.00
[16:20:30.702],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1319.00
[16:20:30.727],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1319.00
[16:20:30.753],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.79,1.46,1477.00
[16:20:30.780],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.53,1477.00
[16:20:30.800],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.73,1.46,1303.00
[16:20:30.832],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1303.00
[16:20:30.853],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1296.00
[16:20:30.879],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1296.00
[16:20:30.905],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1316.00
[16:20:30.931],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.34,1316.00
[16:20:30.952],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1365.00
[16:20:30.978],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.40,1365.00
[16:20:31.004],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.79,1.46,1449.00
[16:20:31.030],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.79,1.46,1449.00
[16:20:31.055],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1342.00
[16:20:31.081],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1342.00
[16:20:31.102],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.40,1379.00
[16:20:31.128],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.61,1.53,1379.00
[16:20:31.154],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.79,1.53,1280.00
[16:20:31.180],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1280.00
[16:20:31.205],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.46,1270.00
